indv	ef	lf	sex	pupation	pday	emergence	eday	adultsurvival	censor	eggs1	eggs2	eggs3	eggs4	eggs5	eggs6	wl	delta.1	delta46	size.day4
182	L	H	male	yes	9	yes	11	46	1	NA	NA	NA	NA	NA	NA	NA	1.6247	1.9963	2.5216
183	L	H	male	yes	8	yes	10	20	1	NA	NA	NA	NA	NA	NA	NA	1.0023	NA	1.8972
184	L	H	female	yes	9	yes	11	23	1	40	37	NA	NA	NA	NA	2.293093422	2.1121	2.0989	2.9278
185	H	L	male	yes	7	yes	9	12	1	NA	NA	NA	NA	NA	NA	NA	2.6968	1.239	3.65
186	H	L	female 	yes	8	yes	11	58	0	37	0	25	33	16	0	2.386966579	2.6208	1.9261	3.4068
187	H	L	female	yes	7	yes	10	59	0	0	21	0	0	0	0	2.310949932	2.8996	0.1798	4.108
188	H	L	male	yes	8	yes	11	16	1	NA	NA	NA	NA	NA	NA	NA	2.9719	0.696	3.5635
189	H	H	female	yes	9	yes	10	24	1	22	12	0	NA	NA	NA	NA	2.9547	1.8465	3.8955
190	H	H	female	yes	8	yes	11	17	1	0	49	0	NA	NA	NA	2.109080545	2.813	1.2599	3.7038
191	H	H	female	yes	8	yes	10	37	1	0	0	0	12	NA	NA	2.602169505	1.8804	2.5817	2.7909
192	H	H	female	yes	7	yes	10	36	1	33	29	0	70	NA	NA	2.305414934	1.8617	3.3608	2.9508
193	L	L	female	yes	10	yes	12	18	1	40	0	NA	NA	NA	NA	2.431809832	2.5889	1.2438	3.7846
194	L	L	male	yes	9	yes	11	36	1	NA	NA	NA	NA	NA	NA	NA	2.5892	NA	3.3992
195	L	L	female	yes	9	yes	11	33	1	24	21	16	17	NA	NA	2.200667576	2.4254	1.9294	3.1117
196	L	L	male	yes	9	yes	11	19	1	NA	NA	NA	NA	NA	NA	NA	1.0111	NA	2.065
197	L	H	female	yes	9	yes	12	44	1	61	0	0	29	0	NA	2.389503314	1.869	3.0911	2.5203
198	L	H	female	yes	9	yes	11	36	1	44	34	0	0	NA	NA	2.596244924	1.9858	1.4104	2.7633
199	L	H	female	yes	8	yes	11	1	1	NA	NA	NA	NA	NA	NA	2.406409545	1.7931	2.3678	2.5616
200	L	H	female	yes	8	yes	11	19	1	40	0	NA	NA	NA	NA	2.657854464	1.1876	2.8668	2.1018
201	H	L	male	yes	8	yes	11	16	1	NA	NA	NA	NA	NA	NA	NA	2.6132	1.953	3.6621
202	H	L	male	yes	7	yes	9	29	1	NA	NA	NA	NA	NA	NA	NA	3.7057	0.5022	4.546
203	H	L	NA	no	NA	no	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	2.6193	-0.578	3.4199
204	H	L	NA	yes	8	no	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	2.8071	1.7556	3.5761
205	H	H	female	yes	7	yes	9	22	1	55	0	NA	NA	NA	NA	2.06590434	NA	NA	3.7905
206	H	H	male	yes	7	yes	9	21	1	NA	NA	NA	NA	NA	NA	NA	3.4785	0.3258	4.3433
207	H	H	male	yes	7	yes	9	32	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
208	H	H	female	yes	7	yes	10	59	0	0	33	31	33	14	29	2.602531799	NA	NA	NA
209	L	L	male	yes	9	yes	11	28	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
210	L	L	male	yes	10	yes	12	16	1	NA	NA	NA	NA	NA	NA	NA	2.5538	-0.4355	3.4848
211	L	L	male	yes	9	yes	11	27	1	NA	NA	NA	NA	NA	NA	NA	2.1083	1.254	3.1525
212	L	L	female	yes	10	yes	12	13	1	0	0	NA	NA	NA	NA	2.402907536	1.7197	2.1456	2.5238
213	L	H	male	yes	9	yes	11	44	1	NA	NA	NA	NA	NA	NA	NA	2.0322	2.1243	2.8302
214	L	H	NA	yes	9	no	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	1.8414	2.3773	2.7195
215	L	H	male	yes	8	yes	11	19	1	NA	NA	NA	NA	NA	NA	NA	1.3095	2.0529	2.0538
216	L	H	female	yes	9	yes	11	58	0	51	0	0	41	0	30	2.347753528	1.4219	2.0198	2.4641
217	H	L	male	yes	7	yes	9	37	1	NA	NA	NA	NA	NA	NA	NA	3.6545	0.3452	4.7402
218	H	L	male	yes	7	yes	9	12	1	NA	NA	NA	NA	NA	NA	NA	3.3645	-0.1353	4.2487
219	H	L	female	yes	8	yes	10	25	1	0	28	0	NA	NA	NA	2.579285701	3.4466	NA	4.5238
220	H	L	female	yes	9	yes	11	28	1	0	0	NA	NA	NA	NA	2.099258166	2.1818	1.572	3.0019
221	H	H	female	yes	8	yes	10	55	0	0	0	21	6	0	0	2.661633177	2.6587	0.9372	3.5347
222	H	H	NA	yes	8	no	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	2.8124	2.0616	3.5907
223	H	H	male	yes	7	yes	9	27	1	NA	NA	NA	NA	NA	NA	NA	2.1651	1.071	3.0987
224	H	H	female	yes	8	yes	10	17	1	0	24	NA	NA	NA	NA	2.519918419	2.7063	1.5566	3.4905
225	L	L	male	yes	10	yes	13	23	1	NA	NA	NA	NA	NA	NA	NA	1.8089	1.6518	2.9284
226	L	L	male	yes	8	yes	11	19	1	NA	NA	NA	NA	NA	NA	NA	2.5994	1.1895	3.6646
227	L	L	male	yes	9	yes	11	31	1	NA	NA	NA	NA	NA	NA	NA	2.1848	2.1985	3.0308
228	L	L	male	yes	9	yes	11	27	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
229	L	H	female	yes	10	yes	12	57	0	0	37	0	0	43	1	2.624418648	1.9242	1.5532	2.7783
230	L	H	male	yes	9	yes	11	36	1	NA	NA	NA	NA	NA	NA	NA	2.0271	NA	2.7836
231	L	L	male	yes	10	yes	13	48	1	NA	NA	NA	NA	NA	NA	NA	0.9757	2.6597	1.7694
232	L	H	male	yes	8	yes	10	31	1	NA	NA	NA	NA	NA	NA	NA	1.4368	1.4855	2.2901
233	L	L	female	yes	11	yes	13	56	0	0	24	0	0	0	0	2.542106191	1.9136	1.9043	2.7765
234	L	H	male	yes	8	yes	11	27	1	NA	NA	NA	NA	NA	NA	NA	1.4641	2.469	2.4383
235	L	L	female	yes	10	yes	12	42	1	0	0	0	0	NA	NA	2.396386235	1.6701	2.1277	2.593
236	H	L	male	yes	6	yes	9	21	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.4083
237	L	L	male	yes	8	yes	10	9	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
238	H	L	female	yes	8	yes	10	26	1	0	0	0	NA	NA	NA	NA	3.5037	1.6291	4.1795
239	L	H	male	yes	8	yes	10	41	1	NA	NA	NA	NA	NA	NA	NA	1.4634	2.9322	2.4928
240	H	L	female	yes	9	yes	11	51	1	0	38	0	0	0	NA	2.135604047	NA	1.542732368	2.7286
241	L	H	female	yes	8	yes	10	51	1	0	0	34	0	36	NA	2.472127095	2.1262	2.3165	2.7699
