Animal,Sire,Dam,Bucket,Wing_Morph,Food,State_DLM,DLM_Mass,Ovary_Mass,Remaining_Mass,Total_Mass
961,22,3,A,L,Med,1,5.1,6.6,169.3,181
962,22,3,A,L,AD,2,6.4,46.7,200.5,253.6
963,22,3,A,L,Low,1,2.5,25.8,115.4,143.7
964,22,3,A,L,Med,2,5.4,9.7,162.4,177.5
965,22,3,A,L,AD,1,5.2,47.8,164.2,217.2
966,22,3,A,L,Low,1,1.6,63.9,120.4,185.9
967,22,3,A,L,Med,2,4.2,43.3,172.8,220.3
968,22,3,A,L,AD,1,5.3,50.3,169.6,225.2
969,22,3,A,L,Low,2,4.2,7.3,121.8,133.3
970,22,3,A,L,Med,2,8.6,18.2,181,207.8
971,22,3,A,L,AD,1,1.8,107.1,148,256.9
972,22,3,B,L,Low,1,4.5,3.7,129.8,138
973,22,3,B,L,Med,1,4.9,27.3,152.2,184.4
974,22,3,B,L,AD,0,0,132.2,136.4,268.6
975,22,3,B,L,Low,1,0.8,45.3,107.3,153.4
976,22,3,B,L,Med,1,4.6,13.3,151.5,169.4
977,22,3,B,L,AD,2,4.4,30.9,176.6,211.9
978,22,3,B,L,Low,2,4.5,4.4,129.6,138.5
979,22,3,B,L,Med,1,1.2,58.3,109.6,169.1
980,22,3,B,L,AD,2,5.5,29.9,167.6,203
981,22,3,B,L,Low,1,1,29.5,104.2,134.7
982,22,3,B,L,Med,2,4.5,27.1,127.9,159.5
983,22,3,B,L,AD,2,6.2,34.2,208.5,248.9
984,22,3,B,L,Low,2,4.2,10.8,124.9,139.9
985,22,3,B,L,Med,1,1.4,41.8,118.5,161.7
986,22,3,B,L,AD,1,5.2,43.7,160.7,209.6
987,23,1,A,L,Low,2,5.7,15.6,161.7,183
988,23,1,A,L,Med,2,5.3,38.7,152.7,196.7
989,23,1,A,S,AD,1,1,196.3,176.5,373.8
990,23,1,A,S,Low,0,0,46,83.9,129.9
991,23,1,A,S,Med,0,0,72.3,95.5,167.8
992,23,1,A,L,AD,2,7.2,62.8,182.7,252.7
993,23,1,A,L,Low,2,4.5,12.5,117.4,134.4
994,23,1,A,L,AD,2,6.1,57.1,198.6,261.8
995,23,1,A,L,Low,2,3.9,5.6,103.1,112.6
996,23,1,A,L,Med,1,4.4,43.5,131.4,179.3
997,23,1,A,L,AD,0,0,112.6,117.8,230.4
998,23,1,A,S,Low,0,0,52.6,106.9,159.5
999,23,1,A,L,Med,1,4.7,21.4,149,175.1
1000,23,1,B,L,Low,2,3.6,9,100.6,113.2
1001,23,1,B,S,Med,0,0,76,96.9,172.9
1002,23,1,B,L,AD,0,0,63.2,121.4,184.6
1003,23,1,B,L,Low,0,0,40,89.5,129.5
1004,23,1,B,L,Med,2,5.1,8.6,163.6,177.3
1005,23,1,B,L,AD,1,2.7,22.1,184.8,209.6
1006,23,2,A,L,Low,1,4.8,1.9,133.8,140.5
1007,23,2,A,L,Med,2,5.6,13.3,156.5,175.4
1008,23,2,A,L,AD,0,0,107,99.2,206.2
1009,23,2,A,L,Low,2,5.3,3.4,154.1,162.8
1010,23,2,A,L,Med,2,2.2,60.7,95.3,158.2
1011,23,2,A,L,AD,2,4.7,32.3,138,175
1012,23,2,A,L,Low,1,4.4,4.4,115.2,124
1013,23,2,A,L,Med,2,6.8,17.3,182,206.1
1014,23,2,A,L,AD,2,5.7,33,195.1,233.8
1015,23,2,A,L,Low,1,1.1,44.1,80,125.2
1016,23,2,A,L,Med,1,4.3,9.3,131.9,145.5
1017,23,2,A,L,AD,2,5.5,40.4,130.9,176.8
1018,23,2,A,L,Low,1,5,2.4,133.3,140.7
1019,23,2,A,L,Med,2,6.1,10,171,187.1
1020,23,2,A,L,AD,2,5.7,64.6,165.2,235.5
1021,23,2,B,L,Low,1,0.4,37.8,76.9,115.1
1022,23,2,B,L,Med,1,1.6,76.1,126.3,204
1023,23,2,B,L,AD,1,1,118.2,115.8,235
